PHOTOPROTECTION	1	0	0	
JUVENILE_VASCULAR_LEAF	1	1	0	
GLYCINE CATABOLIC PROCESS	0	1	0	
CHLOROPLAST STROMA	0	1	0	
COLLECTIVE_LEAF_STRUCTURE	0	1	0	
PSII ASSOCIATED LIGHT-HARVESTING COMPLEX II CATABOLIC PROCESS	0	1	0	
CALVIN-BENSON-BASSHAM_CYCLE	0	1	0	
GLYCOLYSIS_IV	0	1	0	
THYLAKOID PART	1	0	0	
LOW-AFFINITY PHOSPHATE TRANSMEMBRANE TRANSPORTER ACTIVITY	0	0	1	
PHOTOSYSTEM II STABILIZATION	1	1	0	
ATP-DEPENDENT PEPTIDASE ACTIVITY	0	1	0	
PLANT_EMBRYO	1	1	0	
GLUCOSE METABOLIC PROCESS	0	1	0	
PHOTOSYSTEM II OXYGEN EVOLVING COMPLEX	1	0	1	
EXTRINSIC COMPONENT OF MEMBRANE	1	0	1	
PHOTOINHIBITION	0	1	0	
PEDICEL	1	1	1	
PHOTOSYNTHESIS_LIGHT_REACTIONS	1	1	1	
GLYCINE DECARBOXYLATION VIA GLYCINE CLEAVAGE SYSTEM	0	1	0	
SHOOT_APEX	1	1	1	
SEED	1	1	1	
RESPONSE TO HIGH LIGHT INTENSITY	1	0	0	
GLYCINE CLEAVAGE COMPLEX	0	1	0	
TRANS-LYCOPENE_BIOSYNTHESIS_II	0	0	1	
PROTEIN STABILIZATION	1	0	0	
COTYLEDON	1	1	1	
EPOXIDE HYDROLASE ACTIVITY	1	0	0	
GLYCERATE TRANSMEMBRANE TRANSPORT	0	0	1	
ACYL_LIPID_METABOLISM_FAMILY_ACYL-CERAMIDE_SYNTHASE	1	0	0	
PHOTOSYSTEM STOICHIOMETRY ADJUSTMENT	1	0	0	
RESPONSE TO SUCROSE	0	1	0	
GLUTATHIONE_S-TRANSFERASE_FAMILY_LAMBDA_FAMILY	0	0	1	
PETIOLE	1	1	1	
PETAL	1	1	1	
FRUIT	1	1	0	
PHOTOSYNTHESIS, LIGHT HARVESTING	1	0	0	
CARPEL	1	1	1	
